li	unicode	GHC	homophones	sea	GX2021	GX202404	GX202411
0001	𘞗	sjwɨ¹	6	1.30	swə¹	swə¹	swə¹
0002	𘟇	lo¹	9	1.49	loʶ¹	lo̱¹	lo̱¹
0003	𘞼	sji²	6	2.10	si²	si²	si²
0004	𗴷	la²	9	2.14	laʶ²	la̱²	la̱²
0005	𗀇	gjow¹	5	1.56	gow¹	goṁ¹	goṃ¹
0006	𗴼	khjiw²	5	2.40	khiw²	khiw²	khiw²
0007	𗵤	sjij¹	6	1.36	se¹	se¹	se¹
0008	𗀀	do¹	3	1.49	doʶ¹	do̱¹	do̱¹
0009	𗄈	śjwo¹	7	1.48	śwo¹	śow¹	śow¹
0010	𗄊	zji²	9	2.10	zi²	zi²	zi²
0012	𗵏	bju¹	1	1.02	bu¹	bu¹	bu¹
0013	𗀅	zar²	9	2.73	zaʶr²	rza̱r²	rza̱r²
0014	𗀫	pho̱¹	1	1.52	mphoʶ¹	mpho̱¹	mpho̱¹
0015	𗍥	ɣjɨ̣¹	8	1.69	ɣə̣¹	γəh¹	ghəh¹
0016	𗅈	tjɨ̣j²	3	2.55	tə̣j²	teṁh²	teṃh²
0017	𗀏	par²	1	2.73	paʶr²	rpa̱r²	rpa̱r²
0018	𗀨	thjwu²	3	2.03	thwu²	thwu²	thwu²
0019	𗄛	ber²	1	2.71	biʶr²	rbi̱r²	rbi̱r²
0020	𗵘	tśja¹	7	1.19	tśa¹	tśa¹	tśa¹
0021	𗵚	bju¹	1	1.02	bu¹	bu¹	bu¹
0022	𗵕	bə¹	1	1.27	bəʶ¹	bə̱¹	bə̱¹
0023	𗵲	rjor¹	9	1.90	ror¹	ror¹	ror¹
0024	𘈋	phjij²	1	2.33	phe²	phe²	phe²
0025	𗀍	khie̱¹	5	1.13	ɴqhʕiʶ¹	ŋqhai̱¹	ŋqhai̱¹
0026	𗀄	ŋwu²	5	2.01	ɴwuʶ²	ŋwu̱²	ŋwu̱²
0027	𗄑	ŋowr²	5	2.82	ɴoʶwr²	rŋo̱ṁr²	rŋo̱ṃr²
0028	𗍦	lhju̱¹	9	1.07	nlhu¹	nlhu¹	nlhu¹
0029	𗵈	rer²	9	2.71	riʶr²	ri̱r²	ri̱r²
0031	𘞝	dzjwɨ¹	6	1.30	dzwə¹	dzwə¹	dzwə¹
0032	𗃿	źji²	9	2.09	źi²	źi²	źi²
0033	𗵇	tshjị¹	6	1.67	tshị¹	tshih¹	tshih¹
0034	𗵓	low²	9	2.47	loʶw²	lo̱ṁ²	llo̱ṃ²
0035	𗀕	zar²	9	2.73	zaʶr²	rza̱r²	rza̱r²
0036	𘓬	gu̱²	5	2.05	ɴɢuʶ²	ŋġu̱²	ŋġu̱²
0037	𗴰	gjwã¹	5	1.26	gwã¹	gwaṁ¹	gwaṃ¹
0038	𗀃	śio²	7	2.43	śʕoʶ²	ṣao̱²	ṣao̱²
0039	𘟗	kowr²	5	2.82	qoʶwr²	rqo̱ṁr²	rqo̱ṃr²
0040	𗴾	wej²	2	2.30	weʶ²	ve̱²	vwe̱²
0041	𗵋	dźiow²	4	2.48	dźʕoʶw²	dẓao̱ṁ²	dẓao̱ṃ²
0042	𗀛	khji¹	5	1.11	khi¹	khi¹	khi¹
0043	𗀜	ŋwu²	5	2.01	ɴwuʶ²	ŋwu̱²	ŋwu̱²
0044	𗀤	ŋwu²	5	2.01	ɴwuʶ²	ŋwu̱²	ŋwu̱²
0045	𘟋	zar¹	9	1.80	zaʶr¹	rza̱r¹	rza̱r¹
0046	𘟀	ljij²	9	2.33	le²	le²	le²
0048	𗀭	thjwu²	3	2.03	thwu²	thwu²	thwu²
0049	𗄉	źji²	9	2.10	źi²	źi²	źi²
0050	𗀟	nji̱¹	3	1.14	nni¹	nni¹	nni¹
0051	𗵔	tha̱r¹	3	1.83	nthaʶr¹	ntha̱r¹	ntha̱r¹
0052	𗄋	źji¹	9	1.10	źi¹	źi¹	źi¹
0053	𗵳	njọ²	3	2.64	nọ²	noh²	noh²
0054	𗴸	tswa¹	6	1.17	tswaʶ¹	tswa̱¹	tswa̱¹
0055	𗵣	tśjiw²	7	2.40	tśiw²	tśiw²	tśiw²
0056	𗀎	rjijr²	9	2.68	rer²	rer²	rer²
0058	𗵱	kjir¹	5	1.79	kir¹	rkir¹	rkir¹
0059	𗴳	lhejr²	9	2.66	lheʶr²	rlhe̱r²	rlhe̱r²
0060	𗵉	dow¹	3	1.54	doʶw¹	do̱ṁ¹	do̱ṃ¹
0062	𗴱	rjor²	9	2.81	ror²	ror²	ror²
0063	𘟅	tśhjij¹	7	1.35	tśhe¹	tśhe¹	tśhe¹
0065	𗀆	gjwɨr²	5	2.77	gwər²	rgwər²	rgwər²
0066	𗀉	kiej²	5	2.31	qʕeʶ²	qae̱²	qae̱²
0067	𗀑	ljij²	9	2.33	le²	le²	le²
0068	𗀒	śjow²	7	2.48	śow²	śoṁ²	śoṃ²
0069	𗀖	lọ²	9	2.62	lọʶ²	lo̱ṁh²	llo̱ṃh²
0070	𗀘	thjwɨ¹	3	1.30	thwə¹	thwə¹	thwə¹
0071	𗴲	dźjwij²	7	2.32	dźwe²	dźwe²	dźwe²
0072	𗵀	wow¹	2	1.54	woʶw¹	vo̱ṁ¹	vwo̱ṃ¹
0073	𗵯	tśjɨ̣¹	7	1.69	tśə̣¹	tśəh¹	tśəh¹
0074	𗸕	khwə¹	5	1.27	qhwəʶ¹	qhwə̱¹	qhwə̱¹
0075	𗙬	śio̱w¹	7	1.57	śʕooʶw¹	śuo¹	śuo¹
0077	𗀩	dji̱j²	3	2.35	nde²	nde²	nde²
0078	𗵰	tjị¹	3	1.67	tị¹	tih¹	tih¹
0080	𗀋	phio²	1	2.43	phʕoʶ²	phao̱²	phao̱²
0081	𗄐	tśji²	7	2.09	tśi²	tśi²	tśi²
0082	𗀙	phə̱¹	1	1.31	mphəʶ¹	mphə̱¹	mphə̱¹
0083	𗵃	we¹	2	1.08	wiʶ¹	vi̱¹	vwi̱¹
0084	𗀠	phə̱¹	1	1.31	mphəʶ¹	mphə̱¹	mphə̱¹
0086	𗄔	śjwow¹	7	1.56	śwow¹	śwoṁ¹	śwoṃ¹
0087	𗀈	tsow¹	6	1.54	tsoʶw¹	tso̱ṁ¹	tso̱ṃ¹
0088	𗀥	tew¹	3	1.43	tiʶw¹	ti̱w¹	ti̱w¹
0089	𗀔	tśhja̱¹	7	1.21	tśhaa¹	tśhaw¹	tśhaw¹
0090	𗀝	wor¹	2	1.89	woʶr¹	rvo̱r¹	rvwo̱r¹
0091	𗀮	thew²	3	2.38	thiʶw²	thi̱w²	thi̱w²
0092	𗴺	mja¹	1	1.20	ma¹	ma¹	ma¹
0093	𗵦	tjọ¹	3	1.72	tọ¹	toh¹	toh¹
0094	𗄒	śjwo¹	7	1.48	śwo¹	śow¹	śow¹
0095	𗀡	tśhja̱¹	7	1.21	tśhaa¹	tśhaw¹	tśhaw¹
0096	𘒡	mjij²	1	2.33	me²	me²	me²
0097	𗀧	dji̱j²	3	2.35	nde²	nde²	nde²
0098	𗵗	rjor²	9	2.81	ror²	ror²	ror²
0099	𗀯	thjwɨ¹	3	1.30	thwə¹	thwə¹	thwə¹
0100	𘈩	lew¹	9	1.43	liʶw¹	li̱w¹	li̱w¹
0101	𗀂	tśhja̱¹	7	1.21	tśhaa¹	tśhaw¹	tśhaw¹
0102	𘈚	gjɨ²	5	2.28	gə²	gə²	gə²
0103	𗵄	ljụ²	9	2.52	lụ²	luh²	lluh²
0104	𗀊	tśhja̱¹	7	1.21	tśhaa¹	tśhaw¹	tśhaw¹
0105	𗴿	kjụ¹	5	1.59	kụ¹	kuh¹	kuh¹
0106	𗵞	śio̱w¹	7	1.57	śʕooʶw¹	śuo¹	śuo¹
0107	𗵨	śiə¹	7	1.28	śʕəʶ¹	ṣaə̱¹	ṣaə̱¹
0108	𗄓	gjɨ̣²	5	2.61	gə̣²	gəh²	gəh²
0109	𗵫	gjịj¹	5	1.61	gẹ¹	geh¹	geh¹
0110	𗴻	mej¹	1	1.33	meʶ¹	me̱¹	me̱¹
0111	𗵂	ljɨ¹	9	1.29	lə¹	lə¹	llə¹
0112	𗍧	lẹ²	9	2.58	lịʶ²	li̱h²	lli̱h²
0113	𗵆	śjɨj¹	7	1.42	śəj¹	śeṁ¹	śeṃ¹
0114	𗵪	dźjwij²	7	2.32	dźwe²	dźwe²	dźwe²
0115	𗵝	low²	9	2.47	loʶw²	lo̱ṁ²	llo̱ṃ²
0116	𗀌	tśhja¹	7	1.19	tśha¹	tśha¹	tśha¹
0117	𗀬	thew²	3	2.38	thiʶw²	thi̱w²	thi̱w²
0118	𘟃	no²	3	2.42	noʶ²	no̱²	no̱²
0119	𗵍	ljụ²	9	2.52	lụ²	luh²	lluh²
0120	𗵩	low²	9	2.47	loʶw²	lo̱ṁ²	llo̱ṃ²
0121	𗵮	dẹ¹	3	1.65	dịʶ¹	di̱h¹	di̱h¹
0122	𘈌	wjo̱¹	2	1.53	nˑwo¹	nvo¹	nvo¹
0124	𗴵	ljụ²	9	2.52	lụ²	luh²	lluh²
0125	𗵊	mju̱²	1	2.06	mmu²	mmu²	mmu²
0126	𗵬	wej²	2	2.30	weʶ²	ve̱²	vwe̱²
0127	𗴹	no²	3	2.42	noʶ²	no̱²	no̱²
0128	𗵎	śjɨj¹	7	1.42	śəj¹	śeṁ¹	śeṃ¹
0129	𗵙	bjo̱¹	1	1.53	mbo¹	mbo¹	mbo¹
0130	𗵥	thu²	3	2.01	thuʶ²	thu̱²	thu̱²
0131	𗵖	tsjwĩ¹	6	1.16	tswĩ¹	tswiṁ¹	tswiṃ¹
0132	𗄕	śjij¹	7	1.35	śe¹	śe¹	śe¹
0133	𗵜	lwər²	9	2.76	lwəʶr²	rlwə̱r²	rlwə̱r²
0134	𗵢	ˑju²	8	2.02	ˑju²	yu²	yu²
0135	𗵭	kjọ¹	5	1.72	kọ¹	koh¹	koh¹
0136	𗵧	dji̱j²	3	2.35	nde²	nde²	nde²
0137	𗵛	ljụ²	9	2.52	lụ²	luh²	lluh²
0138	𗵠	tśhjo²	7	2.44	tśho²	tśho²	tśho²
0139	𗵐	nej²	3	2.30	neʶ²	ne̱²	ne̱²
0140	𗴴	lhejr²	9	2.66	lheʶr²	rlhe̱r²	rlhe̱r²
0141	𘈊	wji̱¹	2	1.14	nˑwi¹	nvi¹	nvi¹
0142	𗄎	ljị²	9	2.60	lị²	lih²	llih²
0143	𗀐	dźjij¹	7	1.35	dźe¹	dźe¹	dźe¹
0144	𗵟	tshjwã¹	6	1.26	tshwã¹	tshwaṁ¹	tshwaṃ¹
0145	𗀗	tse̱w²	6	2.41	ntsiʶw²	ntsi̱w²	ntsi̱w²
0146	𗵡	tśiej²	7	2.31	tśʕeʶ²	tṣae̱²	tṣae̱²
0147	𗀓	śjij²	7	2.32	śe²	śe²	śe²
0148	𗀞	tọ¹	3	1.70	tọʶ¹	to̱ṁh¹	to̱ṃh¹
0149	𗵌	ˑwejr²	8	2.66	ˑweʶr²	rγwe̱r²	rġhwe̱r²
0150	𘔧	gjụ¹	5	1.59	gụ¹	guh¹	guh¹
0151	𘞐	śju̱¹	7	1.07	nśu¹	nśu¹	nśu¹
0152	𗵒	kiẹ¹	5	1.66	qʕịʶ¹	qai̱h¹	qai̱h¹
0153	𗵁	khu¹	5	1.01	qhuʶ¹	qhu̱¹	qhu̱¹
0154	𗵑	ˑo¹	8	1.49	ˑoʶ¹	γo̱¹	wo̱¹
0155	𗶮	gja̱¹	5	1.23	ŋga¹	ŋga¹	ŋga¹
0156	𘝹	wjir²	2	2.72	wir²	rvir²	rvir²
0157	𗷠	tśiwej¹	7	1.34	tśʕweʶ¹	tṣwae̱¹	tṣwae̱¹
0158	𗘠	rjijr²	9	2.68	rer²	rer²	rer²
0159	𘄜	no²	3	2.42	noʶ²	no̱²	no̱²
0160	𘈙	djij¹	3	1.36	de¹	de¹	de¹
0161	𗙥	djịj¹	3	1.61	dẹ¹	deh¹	deh¹
0162	𗘹	khjã¹	5	1.26	khã¹	khaṁ¹	khaṃ¹
0163	𘃺	mjɨ̱²	1	2.29	mmə²	mmə²	mmə²
0164	𗙗	dạ²	3	2.56	dạʶ²	da̱h²	da̱h²
0166	𘄇	mjị¹	1	1.67	mị¹	mih¹	mih¹
0167	𗟵	ˑja²	8	2.14	ˑja²	ya²	ya²
0168	𗟷	pjɨ¹	1	1.30	pə¹	pə¹	pə¹
0169	𘘄	śjwi¹	7	1.10	świ¹	świ¹	świ¹
0170	𘜓	tśhji²	7	2.09	tśhi²	tśhi²	tśhi²
0171	𘘛	kew¹	5	1.43	qiʶw¹	qi̱w¹	qi̱w¹
0172	𘚄	kjɨ¹	5	1.30	kə¹	kə¹	kə¹
0173	𗗛	lhia̱²	9	2.20	nlhʕaʶ²	nlhaa̱²	nlhaa̱²
0174	𗰙	khjwị²	5	2.60	khwị²	khwih²	khwih²
0175	𗰟	sjwi²	8	2.10	swi²	swi²	swi²
0176	𗰞	nja̱¹	3	1.21	naa¹	naw¹	naw¹
0177	𗙴	rar¹	9	1.80	raʶr¹	ra̱r¹	ra̱r¹
0178	𗙘	ɣiẹ²	8	2.59	ʁʕịʶ²	γai̱h²	ġhai̱h²
0179	𗹉	gjow²	5	2.49	gow²	goṁ²	goṃ²
0180	𗟼	dji¹	3	1.11	di¹	di¹	di¹
0181	𗃒	lə¹	9	1.27	ləʶ¹	lə̱¹	lə̱¹
0182	𗙈	wjạ¹	2	1.64	wạ¹	vah¹	vah¹
0183	𘄆	phjo¹	1	1.51	pho¹	pho¹	pho¹
0184	𗸢	twa¹	3	1.17	twaʶ¹	twa̱¹	twa̱¹
0185	𗸴	njwɨ²	3	2.28	nwə²	nwə²	nwə²
0186	𘇗	lu²	9	2.01	luʶ²	lu̱²	lu̱²
0187	𘒺	nar²	3	2.73	naʶr²	rna̱r²	rna̱r²
0188	𘒾	śjwɨ̱¹	7	1.32	nśwə¹	nśwə¹	nśwə¹
0189	𘆯	dzjị²	5	2.60	dzị²	dzih²	dzih²
0190	𗷦	bji¹	1	1.30	bi¹	bi¹	bi¹
0191	𘆰	kjwij²	5	2.33	kwe²	kwe²	kwe²
0192	𘇉	ljị²	9	2.60	lị²	lih²	llih²
0193	𘈢	ljɨ̣j¹	9	1.62	lə̣j¹	leṁh¹	lleṃh¹
0194	𘆮	tśjị²	7	2.60	tśị²	tśih²	tśih²
0195	𗶛	sjwɨ²	6	2.28	swə²	swə²	swə²
0196	𘒧	djwu¹	3	1.03	dwu¹	dwu¹	dwu¹
0197	𘔦	rer²	9	2.71	riʶr²	ri̱r²	ri̱r²
0198	𗸼	lhjị²	9	2.60	lhị²	lhih²	lhih²
0199	𗹄	sjɨ²	6	2.28	sə²	sə²	sə²
0200	𘚕	low²	9	2.47	loʶw²	lo̱ṁ²	llo̱ṃ²
0201	𗘺	mjij¹	1	1.36	me¹	me¹	me¹
0204	𗹃	sjwo²	6	2.44	swo²	swo²	swo²
0205	𗙊	dźiã¹	7	1.25	dźʕãʶ¹	dẓaa̱ṁ¹	dẓaa̱ṃ¹
0206	𗠁	bu̱²	1	2.05	mbuʶ²	mbu̱²	mbu̱²
0207	𗗕	ljɨ̣j²	9	2.55	lə̣j²	leṁh²	lleṃh²
0208	𗸻	bər¹	1	1.84	bəʶr¹	rbə̱r¹	rbə̱r¹
0209	𗙓	ljwĩ¹	9	1.16	lwĩ¹	lwiṁ¹	lwiṃ¹
0210	𘟁	bẹ¹	1	1.65	bịʶ¹	bi̱h¹	bi̱h¹
0211	𗹊	kju̱¹	5	1.07	ŋku¹	ŋku¹	ŋku¹
0212	𘆤	śio̱w¹	7	1.57	śʕooʶw¹	śuo¹	śuo¹
0213	𗶚	njij¹	3	1.36	ne¹	ne¹	ne¹
0214	𘔫	lụ²	9	2.51	lụʶ²	lu̱h²	llu̱h²
0216	𘆞	khie²	5	2.08	qhʕiʶ²	qhai̱²	qhai̱²
0217	𗷞	lji²	9	2.09	li²	li²	li²
0218	𗗔	ˑji̱j¹	8	1.39	ˑjee¹	n·ye¹	nye¹
0219	𗍹	tsewr²	6	2.78	tsiʶwr²	rtsi̱wr²	rtsi̱wr²
0220	𗹀	tśiəj¹	7	1.41	tśʕəʶj¹	tṣae̱ṁ¹	tṣae̱ṃ¹
0221	𘄅	lhji²	9	2.10	lhi²	lhi²	lhi²
0222	𗘷	xowr¹	8	1.91	χoʶwr¹	rho̱ṁr¹	rho̱ṃr¹
0223	𗙌	kiə¹	5	1.28	qʕəʶ¹	qaə̱¹	qaə̱¹
0224	𗙭	rar¹	9	1.80	raʶr¹	ra̱r¹	ra̱r¹
0225	𘄋	ɣjɨ¹	8	1.29	ɣə¹	γə¹	ghə¹
0226	𗟳	ŋwu¹	5	1.01	ɴwuʶ¹	ŋwu̱¹	ŋwu̱¹
0227	𗟽	mjor²	1	2.81	mor²	rmor²	rmor²
0228	𘘅	kie̱j¹	5	1.38	ɴqʕeʶ¹	ŋqae̱¹	ŋqae̱¹
0229	𗗓	gjow²	5	2.48	gow²	goṁ²	goṃ²
0230	𘓰	ɣjɨr¹	8	1.86	ɣər¹	rγər¹	rghər¹
0231	𘓸	ɣjɨr¹	8	1.86	ɣər¹	rγər¹	rghər¹
0232	𘈤	xar¹	8	1.80	χaʶr¹	rha̱r¹	rha̱r¹
0233	𘆟	zewr²	9	2.78	ziʶwr²	rzi̱wr²	rzi̱wr²
0234	𘆿	śiẹj¹	7	1.60	śʕẹʶ¹	ṣae̱h¹	ṣae̱h¹
0235	𘜖	du̱²	3	2.05	nduʶ²	ndu̱²	ndu̱²
0236	𗸿	ˑụ¹	8	1.58	ˑụʶ¹	γu̱h¹	wu̱h¹
0237	𘚣	gjij²	5	2.33	ge²	ge²	ge²
0238	𘇁	śiẹj¹	7	1.60	śʕẹʶ¹	ṣae̱h¹	ṣae̱h¹
0239	𘃾	lhjɨ¹	9	1.30	lhə¹	lhə¹	lhə¹
0240	𘑾	djụ¹	3	1.59	dụ¹	duh¹	duh¹
0241	𘒀	djụ¹	3	1.59	dụ¹	duh¹	duh¹
0242	𘑿	ljow²	9	2.49	low²	loṁ²	loṃ²
0243	𗡸	sji²	6	2.10	si²	si²	si²
0244	𗳛	ka¹	5	1.17	qaʶ¹	qa̱¹	qa̱¹
0245	𗳡	śjwi²	7	2.09	świ²	świ²	świ²
0246	𘑝	mjij²	1	2.33	me²	me²	me²
0247	𘑳	njij¹	9	2.82	ne¹	ne¹	ne¹
0248	𘗲	no²	3	2.42	noʶ²	no̱²	no̱²
0249	𘜂	dzəj¹	6	1.40	dzəʶj¹	dze̱ṁ¹	dze̱ṃ¹
0250	𘔏	bẹ¹	1	1.65	bịʶ¹	bi̱h¹	bi̱h¹
0251	𘘫	bji²	1	2.10	bi²	bi²	bi²
0252	𘘲	sjo¹	6	1.51	so¹	so¹	so¹
0253	𘜩	tho̱²	3	2.45	nthoʶ²	ntho̱²	ntho̱²
0254	𘜽	khu¹	5	1.01	qhuʶ¹	qhu̱¹	qhu̱¹
0255	𘗫	lạ¹	9	1.63	lạʶ¹	la̱h¹	lla̱h¹
0257	𗘍	ŋwər¹	5	1.84	ɴwəʶr¹	rŋwə̱r¹	rŋwə̱r¹
0258	𘃰	dzwew¹	6	1.43	dzwiʶw¹	dzwi̱w¹	dzwi̱w¹
0259	𘅴	ljwa¹	9	1.20	lwa¹	lwa¹	lwa¹
0260	𘔐	ŋa¹	5	1.17	ɴaʶ¹	ŋa̱¹	ŋa̱¹
0261	𘘮	mjo²	1	2.44	mo²	mo²	mo²
0262	𘞉	lej¹	9	1.33	leʶ¹	le̱¹	le̱¹
0263	𘚈	tjụ²	3	2.52	tụ²	tuh²	tuh²
0264	𘜾	kiej¹	5	1.34	qʕeʶ¹	qae̱¹	qae̱¹
0265	𘚚	pə̣¹	1	1.68	pə̣ʶ¹	pə̱h¹	pə̱h¹
0266	𗍕	kjɨ̱r¹	5	1.92	kəər¹	rkər¹	rkər¹
0267	𗘏	śjwɨj¹	7	1.42	śwəj¹	śweṁ¹	śweṃ¹
0269	𗍋	khjɨ̱¹	5	1.32	ŋkhə¹	ŋkhə¹	ŋkhə¹
0270	𗍅	kjɨ̱r¹	5	1.92	kəər¹	rkər¹	rkər¹
0271	𗡠	mjijr²	1	2.68	mer²	rmer²	rmer²
0273	𘅊	lej¹	9	1.33	leʶ¹	le̱¹	le̱¹
0274	𘅩	tśjịj¹	7	1.61	tśẹ¹	tśeh¹	tśeh¹
0275	𗳣	bji̱²	1	2.12	mbi²	mbi²	mbi²
0276	𗸱	no²	3	2.42	noʶ²	no̱²	no̱²
0277	𘑽	źji²	9	2.10	źi²	źi²	źi²
0278	𘘺	kjɨ¹	5	1.30	kə¹	kə¹	kə¹
0279	𗙵	tśja̱¹	7	1.21	tśaa¹	tśaw¹	tśaw¹
0280	𗍌	dźjwij¹	7	1.35	dźwe¹	dźwe¹	dźwe¹
0281	𗍍	tser¹	6	1.77	tsiʶr¹	rtsi̱r¹	rtsi̱r¹
0282	𗉲	tśhjiw¹	7	1.45	tśhiw¹	tśhiw¹	tśhiw¹
0283	𗙾	kiwəj²	5	2.36	qʕwəʶj²	qwae̱ṁ²	qwae̱ṃ²
0284	𘈝	śjwo¹	7	1.48	śwo¹	śow¹	śow¹
0285	𗘁	rer¹	9	1.77	riʶr¹	ri̱r¹	ri̱r¹
0286	𗘃	na¹	3	1.17	naʶ¹	na̱¹	na̱¹
0287	𘅨	ŋa¹	5	1.17	ɴaʶ¹	ŋa̱¹	ŋa̱¹
0288	𘙛	dzjiw²	6	2.40	dziw²	dziw²	dziw²
0289	𗍁	we²	2	2.07	wiʶ²	vi̱²	vwi̱²
0290	𗍊	sju²	6	2.03	su²	su²	su²
0291	𗍖	kjɨ̱r¹	5	1.92	kəər¹	rkər¹	rkər¹
0292	𗘕	ŋwər¹	5	1.84	ɴwəʶr¹	rŋwə̱r¹	rŋwə̱r¹
0293	𗡣	dze²	6	2.07	dziʶ²	dzi̱²	dzi̱²
0294	𗗾	wa¹	2	1.17	waʶ¹	va̱¹	vwa̱¹
0295	𘅏	tsur¹	6	1.75	tsuʶr¹	rtsu̱r¹	rtsu̱r¹
0296	𘙔	tew¹	3	1.43	tiʶw¹	ti̱w¹	ti̱w¹
0297	𘙦	sjij²	6	2.33	se²	se²	se²
0298	𘔜	tśhjĩ¹	7	1.16	tśhĩ¹	tśhiṁ¹	tśhiṃ¹
0299	𘑺	djị²	3	2.60	dị²	dih²	dih²
0300	𘈀	wjar¹	2	1.82	war¹	rvar¹	rvar¹
0301	𘝆	lạ¹	9	1.63	lạʶ¹	la̱h¹	lla̱h¹
0304	𘘯	ɣa¹	8	1.17	ʁaʶ¹	γa̱¹	ġha̱¹
0305	𘅝	ljwu²	9	2.03	lwu²	lwu²	lwu²
0306	𗟫	njir²	3	2.72	nir²	rnir²	rnir²
0307	𘗿	lhjij²	9	2.33	lhe²	lhe²	lhe²
0308	𘚟	lhji²	9	2.10	lhi²	lhi²	lhi²
0309	𗍡	sju²	6	2.03	su²	su²	su²
0310	𘓩	mu²	1	2.04	muʶ²	mu̱²	mu̱²
0311	𗗴	tshjwɨ¹	6	1.30	tshwə¹	tshwə¹	tshwə¹
0312	𘄺	bjạ¹	1	1.64	bạ¹	bah¹	bah¹
0313	𗍓	rewr²	9	2.78	riʶwr²	ri̱wr²	ri̱wr²
0314	𘘰	kiej²	5	2.31	qʕeʶ²	qae̱²	qae̱²
0315	𘑹	źji²	9	2.10	źi²	źi²	źi²
0317	𗸞	dẹj²	3	2.53	dẹʶ²	de̱h²	de̱h²
0318	𗘊	tshjwu²	6	2.03	tshwu²	tshwu²	tshwu²
0319	𗘗	tshjwu¹	6	1.03	tshwu¹	tshwu¹	tshwu¹
0320	𗡡	wə̱¹	2	1.31	nˑwəʶ¹	nvə̱¹	nvwə̱¹
0321	𗵼	ɣiə¹	8	1.28	ʁʕəʶ¹	γaə̱¹	ġhaə̱¹
0322	𘘦	tśhjwo¹	7	1.48	tśhwo¹	tśhow¹	tśhow¹
0323	𘘱	śjar¹	7	1.82	śar¹	rśar¹	rśar¹
0324	𘚇	wjọ¹	2	1.72	wọ¹	voh¹	voh¹
0326	𗍐	khjĩ¹	5	1.16	khĩ¹	khiṁ¹	khiṃ¹
0327	𗉶	mə²	1	2.25	məʶ²	mə̱²	mə̱²
0328	𗎛	ku²	5	2.04	quʶ²	qu̱²	qu̱²
0329	𗙸	rjir²	9	2.72	rir²	rir²	rir²
0330	𘈞	mji̱j¹	1	1.39	mme¹	mme¹	mme¹
0331	𘄛	lwạ¹	9	1.63	lwạʶ¹	lwa̱h¹	llwa̱h¹
0332	𗘎	ŋwər¹	5	1.84	ɴwəʶr¹	rŋwə̱r¹	rŋwə̱r¹
0333	𘅋	ŋwer²	5	2.71	ɴwiʶr²	rŋwi̱r²	rŋwi̱r²
0334	𘞷	khjij¹	5	1.36	khe¹	khe¹	khe¹
0335	𗎙	phja¹	1	1.20	pha¹	pha¹	pha¹
0336	𗰵	gu¹	5	1.01	ɢuʶ¹	ġu̱¹	ġu̱¹
0337	𘞺	djɨ²	3	2.28	də²	də²	də²
0338	𗌼	ljɨ¹	9	1.29	lə¹	lə¹	llə¹
0339	𘘔	dźja̱¹	7	1.21	dźaa¹	dźaw¹	dźaw¹
0340	𗡬	ljɨj¹	9	1.42	ləj¹	leṁ¹	leṃ¹
0341	𘙚	zwew¹	9	1.43	zwiʶw¹	zwi̱w¹	zwi̱w¹
0342	𘅯	dzjɨ¹	6	1.30	dzə¹	dzə¹	dzə¹
0343	𘅻	ɣiã¹	8	1.25	ʁʕãʶ¹	γaa̱ṁ¹	ġhaa̱ṃ¹
0344	𘄣	khu¹	5	1.01	qhuʶ¹	qhu̱¹	qhu̱¹
0346	𗵻	śja²	7	2.16	śa²	śa²	śa²
0347	𗡭	khə¹	5	1.27	qhəʶ¹	qhə̱¹	qhə̱¹
0348	𗶓	be̱²	1	2.11	mbiʶ²	mbi̱²	mbi̱²
0349	𘄲	ljɨ̱²	9	2.29	nlə²	nlə²	nllə²
0350	𘅐	phu²	1	2.01	phuʶ²	phu̱²	phu̱²
0351	𘔥	kjụ¹	5	1.59	kụ¹	kuh¹	kuh¹
0352	𘇺	dźio²	7	2.43	dźʕoʶ²	dẓao̱²	dẓao̱²
0353	𘘬	dźjɨ¹	7	1.30	dźə¹	dźə¹	dźə¹
0354	𘙎	lhji²	9	2.10	lhi²	lhi²	lhi²
0355	𘇻	mju¹	1	1.03	mu¹	mu¹	mu¹
0356	𘘐	śjij¹	7	1.35	śe¹	śe¹	śe¹
0357	𗡰	lja̱¹	9	1.23	nla¹	nla¹	nlla¹
0358	𗍆	kjɨ̱r¹	5	1.92	kəər¹	rkər¹	rkər¹
0359	𗡞	tụ¹	3	1.58	tụʶ¹	tu̱h¹	tu̱h¹
0360	𘅌	bju¹	1	1.02	bu¹	bu¹	bu¹
0361	𘄼	khjij¹	5	1.36	khe¹	khe¹	khe¹
0362	𘚆	tjụ²	3	2.52	tụ²	tuh²	tuh²
0363	𘔔	nu¹	3	1.01	nuʶ¹	nu̱¹	nu̱¹
0364	𗙶	tsjɨj¹	6	1.42	tsəj¹	tseṁ¹	tseṃ¹
0365	𗉏	kwow¹	5	1.54	qwoʶw¹	qwo̱ṁ¹	qwo̱ṃ¹
0366	𗉷	tśhju̱²	7	2.06	ntśhu²	ntśhu²	ntśhu²
0367	𗎤	mej¹	1	1.33	meʶ¹	me̱¹	me̱¹
0368	𗚁	dju²	3	2.03	du²	du²	du²
0369	𗸸	thju̱¹	3	1.07	nthu¹	nthu¹	nthu¹
0370	𘑤	ˑjij²	8	2.32	ˑje²	ye²	ye²
