li	unicode	GHC	homophones	sea	GX2021	GX202404	GX202411
1734	𘅇	tji¹	3	1.11	ti¹	ti¹	ti¹
1735	𘴆	kwej¹	5	1.33	qweʶ¹	qwe̱¹	qwe̱¹
1736	𘅫	tśju¹	7	1.02	tśu¹	tśu¹	tśu¹
1737	𗳦	ka¹	5	1.17	qaʶ¹	qa̱¹	qa̱¹
1738	𗳫	lhjọ¹	9	1.72	lhọ¹	lhoh¹	lhoh¹
1739	𘔋	thjwu²	3	2.03	thwu²	thwu²	thwu²
1741	𘔞	xow¹	8	1.54	χoʶw¹	ho̱ṁ¹	ho̱ṃ¹
1743	𘈂	lju²	9	2.02	lu²	lu²	lu²
1744	𘙅	kjụ¹	5	1.59	kụ¹	kuh¹	kuh¹
1745	𘞋	tsjɨ̣j¹	6	1.62	tsə̣j¹	tseṁh¹	tseṃh¹
1747	𘈨	nur¹	3	1.75	nuʶr¹	rnu̱r¹	rnu̱r¹
1748	𗌺	we²	2	2.07	wiʶ²	vi̱²	vwi̱²
1749	𗘒	kwej¹	5	1.33	qweʶ¹	qwe̱¹	qwe̱¹
1750	𗉡	kiew²	5	2.39	qʕiʶw²	qai̱w²	qai̱w²
1751	𗉢	śjwa¹	7	1.19	śwa¹	śwa¹	śwa¹
1752	𗉳	kwạ²	5	2.56	qwạʶ²	qwa̱h²	qwa̱h²
1753	𗎝	phja¹	1	1.20	pha¹	pha¹	pha¹
1754	𗎞	mə̱¹	1	1.31	mməʶ¹	mmə̱¹	mmə̱¹
1755	𗎢	thjɨj¹	3	1.42	thəj¹	theṁ¹	theṃ¹
1756	𗙿	ˑju²	8	2.02	ˑju²	yu²	yu²
1757	𗶈	dẹ¹	3	1.65	dịʶ¹	di̱h¹	di̱h¹
1758	𘅑	bow²	1	2.47	boʶw²	bo̱ṁ²	bo̱ṃ²
1759	𘄾	njowr²	3	2.83	nowr²	rnoṁr²	rnoṃr²
1760	𘈘	śjwɨ¹	7	1.29	śwə¹	śwə¹	śwə¹
1762	𘙊	lwẹ²	9	2.07	lwịʶ²	lwi̱h²	llwi̱h²
1764	𘝊	mer²	1	2.71	miʶr²	rmi̱r²	rmi̱r²
1765	𗘑	bə²	1	2.25	bəʶ²	bə̱²	bə̱²
1766	𗘖	xu²	8	2.04	χuʶ²	hu̱²	hu̱²
1767	𗉟	ˑja¹	8	1.20	ˑja¹	ya¹	ya¹
1768	𗍗	we²	2	2.07	wiʶ²	vi̱²	vwi̱²
1769	𗍟	djɨ²	3	2.28	də²	də²	də²
1770	𗟨	lhjwi¹	9	1.11	lhwi¹	lhwi¹	lhwi¹
1771	𘄡	sjịj²	6	2.54	sẹ²	seh²	seh²
1772	𘄦	tjɨj¹	3	1.42	təj¹	teṁ¹	teṃ¹
