No,LFW,character,GHC,GX,rhyme,meaning,page number,character number
1,3017,𗴮,djịj¹,deh¹,1.61,類,03.01A.1,1
2,3890,𘊳,bo¹,bo̱¹,1.49,林,03.01A.1,2
3,5865,𘕕,sọ¹,so̱ṃh¹,1.7,三,03.01A.1,3
4,1290,𗡪,tsew²,tsi̱w²,2.38,第,03.01A.1,4
5,0608,𗱊,thjɨ̣²,thəh²,2.61,卷,03.01A.1,5
6,,,,,,,03.01A.2,1
7,,,,,,,03.01A.2,2
8,,,,,,,03.01A.2,3
9,0902,𘞌,źjɨr¹,rźər¹,1.86,實,03.01A.2,4
10,3744,𘓟,dźiej²,dẓae̱²,2.31,信,03.01A.2,5
11,1355,𘄿,tjij¹,te¹,1.36,篇,03.01A.2,6
12,1084,𗰗,ɣạ²,γa̱h²,2.56,十,03.01A.2,7
13,,,,,,,03.01A.3,1
14,4962,𗔬,we²,vwi̱²,2.07,魏,03.01A.3,2
15,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.01A.3,3
16,3379,𗺹,xew¹,hi̱w¹,1.43,侯,03.01A.3,4
17,,,,,,,03.01A.3,5
18,0866,𘅰,ɣu¹,γu̱¹,1.04,吳,03.01A.3,6
19,4807,𗒯,khji¹,khi¹,1.11,起,03.01A.3,7
20,,,,,,,03.01A.3,8
21,0576,𘅧,kjwi¹,kwi¹,1.11,季,03.01A.3,9
22,1208,𗲁,tśia¹,tṣaa̱¹,1.18,扎,03.01A.3,10
23,,,,,,,03.01A.3,11
24,2259,𗪨,miej²,mae̱²,2.31,孟,03.01A.3,12
25,5925,𘕘,tsə¹,tsə̱¹,1.27,子,03.01A.3,13
26,,,,,,,03.01A.3,14
27,5574,𘃣,wji²,vi²,2.09,尾,03.01A.3,15
28,2256,𗻼,śiəj¹,ṣae̱ṃ¹,1.41,生,03.01A.3,16
29,,,,,,,03.01A.4,1
30,3213,𗦆,tsjĩ¹,tsiṃ¹,1.16,晉,03.01A.4,2
31,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.01A.4,3
32,3738,𘓖,kow¹,qo̱ṃ¹,1.54,公,03.01A.4,4
33,,,,,,,03.01A.4,5
34,1034,𘝻,kwo¹,qwo̱¹,1.19,郭,03.01A.4,6
35,4042,𗎉,kjɨ̣²,kəh²,2.61,伋,03.01A.4,7
36,,,,,,,03.01A.4,8
37,2052,𗏆,xiwã¹,hwaa̱ṃ¹,1.25,范,03.01A.4,9
38,4502,𗷅,śjɨ²,śə²,2.27,式,03.01A.4,10
39,4962,𗔬,we²,vwi̱²,2.07,魏,03.01A.5,1
40,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.01A.5,2
41,3379,𗺹,xew¹,hi̱w¹,1.43,侯,03.01A.5,3
42,2627,𗼻,ljɨ̣²,lləh²,2.61,地,03.01A.5,4
43,3469,𗹬,sjij²,se²,2.33,識,03.01A.5,5
44,4950,𗑠,rjir²,rir²,2.72,ᴀᴄᴄꜱ,03.01A.5,6
45,0558,𗌹,njijr¹,rner¹,1.74,野,03.01A.5,7
46,3844,𗭍,dźjịj¹,dźeh¹,1.61,行,03.01A.5,8
47,3216,𗥩,ljwu²,lwu²,2.03,聚,03.01A.5,9
48,0795,𘙇,rjɨr²,rər²,2.77,ᴘꜰᴠ:ᴅɪʀ/ɪᴍᴘ:ᴅɪʀ,03.01A.5,10
49,5113,𘃡,wji¹,vi¹,1.1,為₁,03.01A.5,11
50,3990,𗭒,khjɨ¹,khə¹,1.3,足,03.01A.5,12
51,4762,𗓓,tśhjij¹,tśhe¹,1.35,舉,03.01A.5,13
52,1101,𗗟,ꞏjij¹,ye¹,1.36,ꜰᴜᴛ,03.01A.5,14
53,0705,𘅍,zjịj¹,zeh¹,1.61,ᴛɪᴍᴇ.ᴀ,03.01A.5,15
54,3431,𗼮,dzjụ²,dzuh²,2.52,雨,03.01A.6,1
55,4456,𘴈,tha²,tha̱²,2.54,大,03.01A.6,2
56,1452,𗱢,nja¹,na¹,1.2,ᴘꜰᴠ:ᴅᴏᴡɴ/ɪᴍᴘ:ᴅᴏᴡɴ,03.01A.6,3
57,2373,𗆐,ljịj²,lleh²,2.54,來,03.01A.6,4
58,1906,𗅉,niow¹,nuo¹,1.57,後,03.01A.6,5
59,4507,𗀚,śio¹,ṣao̱¹,1.5,發,03.01A.6,6
60,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.01A.6,7
61,0724,𘆄,njɨ²,nə²,2.28,ᴘʟ,03.01A.6,8
62,2590,𗋚,wjɨ²,və²,2.27,ᴘꜰᴠ:ᴏᴜᴛ/ɪᴍᴘ:ᴏᴜᴛ,03.01A.6,9
63,4069,𗗎,pjwɨ̱r¹,rpwər¹,1.92,諫,03.01A.6,10
64,1734,𘅇,tji¹,ti¹,1.11,ᴘʀᴏʜɪʙ,03.01A.6,11
65,4481,𗶷,śjɨ¹,śə¹,1.29,往₂,03.01A.6,12
66,4601,𘉞,nja²,na²,2.17,𝟤ꜱɢ,03.01A.6,13
67,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.01A.6,14
68,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.01A.6,15
69,3379,𗺹,xew¹,hi̱w¹,1.43,侯,03.01A.7,1
70,1045,𘒣,dạ²,da̱h²,2.56,曰,03.01A.7,2
71,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.01A.7,3
72,4950,𗑠,rjir²,rir²,2.72,ᴀᴄᴄꜱ,03.01A.7,4
73,3216,𗥩,ljwu²,lwu²,2.03,聚,03.01A.7,5
74,1463,𗷳,du²,dau̱²,2.04,期,03.01A.7,6
75,0795,𘙇,rjɨr²,rər²,2.77,ᴘꜰᴠ:ᴅɪʀ/ɪᴍᴘ:ᴅɪʀ,03.01A.7,7
76,5113,𘃡,wji¹,vi¹,1.1,為₁,03.01A.7,8
77,3744,𘓟,dźiej²,dẓae̱²,2.31,信,03.01A.7,9
78,0649,𘇄,ljwu¹,lwu¹,1.03,失,03.01A.7,10
79,5645,𘏚,tjị²,tih²,2.6,ɴᴍʟᴢ:ʟᴏᴄ,03.01A.7,11
80,0491,𗰓,ljọ²,lloh²,2.64,豈,03.01A.7,12
81,2562,𗁁,wjij²,ve²,2.32,有,03.01A.7,13
82,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.01A.7,14
83,3431,𗼮,dzjụ²,dzuh²,2.52,雨,03.01A.7,15
84,2529,𗃡,pjụ²,puh²,2.52,帽,03.01B.1,1
85,5449,𘐏,tjị¹,tih¹,1.67,置₁,03.01B.1,2
86,5880,𗳒,ŋwu²,ŋwu̱²,2.01,ɪɴꜱ,03.01B.1,3
87,0795,𘙇,rjɨr²,rər²,2.77,ᴘꜰᴠ:ᴅɪʀ/ɪᴍᴘ:ᴅɪʀ,03.01B.1,4
88,4469,𗶹,śji²,śi²,2.09,往₁,03.01B.1,5
89,3200,𗤁,tśhjiw¹,tśhiw¹,1.46,六,03.01B.1,6
90,2937,𗂧,lhjịj²,lheh²,2.54,國,03.01B.1,7
91,3139,𗤀,śjij¹,śe¹,1.35,代,03.01B.1,8
92,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.01B.1,9
93,0508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.01B.1,10
94,0866,𘅰,ɣu¹,γu̱¹,1.04,吳,03.01B.2,1
95,4807,𗒯,khji¹,khi¹,1.11,起,03.01B.2,2
96,4989,𗑟,wjị¹,vih¹,1.67,朋,03.01B.2,3
97,4889,𘎆,dźjwɨ¹,dźwə¹,1.3,友,03.01B.2,4
98,4950,𗑠,rjir²,rir²,2.72,ᴀᴄᴄꜱ,03.01B.2,5
99,4508,𗠇,tjị¹,tih¹,1.67,餐,03.01B.2,6
100,4658,𗠰,thji¹,thi¹,1.11,飲,03.01B.2,7
101,3216,𗥩,ljwu²,lwu²,2.03,聚,03.01B.2,8
102,5113,𘃡,wji¹,vi¹,1.1,為₁,03.01B.2,9
103,4989,𗑟,wjị¹,vih¹,1.67,朋,03.01B.2,10
104,1064,𗷝,mjij²,me²,2.33,ɴᴇɢ.ᴘꜰᴠ,03.01B.2,11
105,2373,𗆐,ljịj²,lleh²,2.54,來,03.01B.2,12
106,5354,𘌽,thjɨ²,thə²,2.28,此,03.01B.2,13
107,3349,𗏣,rjijr²,rer²,2.68,P.,03.01B.2,14
108,0866,𘅰,ɣu¹,γu̱¹,1.04,吳,03.01B.2,15
109,4807,𗒯,khji¹,khi¹,1.11,起,03.01B.3,1
110,4508,𗠇,tjị¹,tih¹,1.67,餐,03.01B.3,2
111,1918,𗅋,mji¹,mi¹,1.11,ɴᴇɢ,03.01B.3,3
112,4658,𗠰,thji¹,thi¹,1.11,飲,03.01B.3,4
113,4658,𗠰,thji¹,thi¹,1.11,飲,03.01B.3,5
114,2440,𗾞,njɨ̱²,nnə²,2.29,日,03.01B.3,6
115,4989,𗑟,wjị¹,vih¹,1.67,朋,03.01B.3,7
116,2373,𗆐,ljịj²,lleh²,2.54,來,03.01B.3,8
117,3527,𗋸,mja¹,ma¹,1.2,ᴘʀᴏʙ,03.01B.3,9
118,1906,𗅉,niow¹,nuo¹,1.57,後,03.01B.3,10
119,3370,𗦬,gu²,ġu̱²,2.01,共,03.01B.3,11
120,2590,𗋚,wjɨ²,və²,2.27,ᴘꜰᴠ:ᴏᴜᴛ/ɪᴍᴘ:ᴏᴜᴛ,03.01B.3,12
121,4658,𗠰,thji¹,thi¹,1.11,飲,03.01B.3,13
122,3200,𗤁,tśhjiw¹,tśhiw¹,1.46,六,03.01B.3,14
123,2937,𗂧,lhjịj²,lheh²,2.54,國,03.01B.3,15
124,3139,𗤀,śjij¹,śe¹,1.35,代,03.01B.4,1
125,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.01B.4,2
126,0508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.01B.4,3
127,0576,𘅧,kjwi¹,kwi¹,1.11,季,03.01B.5,1
128,1208,𗲁,tśia¹,tṣaa̱¹,1.18,扎,03.01B.5,2
129,1374,𗉘,tśhjɨ¹,tśhə¹,1.29,此,03.01B.5,3
130,4861,𘝨,zjọ²,zoh²,2.64,ᴛɪᴍᴇ.ʙ,03.01B.5,4
131,1245,𘝵,ꞏjij¹,ye¹,1.36,自,03.01B.5,5
132,2937,𗂧,lhjịj²,lheh²,2.54,國,03.01B.5,6
133,3513,𗹦,mə¹,mə̱¹,1.27,天,03.01B.5,7
134,2349,𗼓,zjɨ̣¹,zəh¹,1.69,子,03.01B.5,8
135,3099,𗫻,dźji̱j¹,ndźe¹,1.39,居,03.01B.5,9
136,5645,𘏚,tjị²,tih²,2.6,ɴᴍʟᴢ:ʟᴏᴄ,03.01B.5,10
137,5447,𘋩,do²,do̱²,2.42,ᴛᴇʀᴍ,03.01B.5,11
138,0795,𘙇,rjɨr²,rər²,2.77,ᴘꜰᴠ:ᴅɪʀ/ɪᴍᴘ:ᴅɪʀ,03.01B.5,12
139,0676,𘞓,wjij¹,ve¹,1.35,往,03.01B.5,13
140,0942,𗈇,ljạ¹,lah¹,1.64,北,03.01B.5,14
141,3349,𗏣,rjijr²,rer²,2.68,P.,03.01B.5,15
142,1326,𘙌,kjɨ¹,kə¹,1.3,ᴘꜰᴠ:ɪɴ/ɪᴍᴘ:ɪɴ,03.01B.6,1
143,2474,𗦎,rar²,ra̱r²,2.73,過,03.01B.6,2
144,0586,𗍏,sju²,su²,2.03,徐,03.01B.6,3
145,5045,𗑪,kjwĩ¹,kwiṃ¹,1.16,君,03.01B.6,4
146,4950,𗑠,rjir²,rir²,2.72,ᴀᴄᴄꜱ,03.01B.6,5
147,5981,𗈪,ꞏja,a?,0,ᴘꜰᴠ:ᴜᴘ/ɪɴᴛʀɢ,03.01B.6,6
148,0756,𘄏,dźju²,dźu²,2.02,遇,03.01B.6,7
149,0586,𗍏,sju²,su²,2.03,徐,03.01B.6,8
150,5045,𗑪,kjwĩ¹,kwiṃ¹,1.16,君,03.01B.6,9
151,0576,𘅧,kjwi¹,kwi¹,1.11,季,03.01B.6,10
152,1208,𗲁,tśia¹,tṣaa̱¹,1.18,扎,03.01B.6,11
153,1139,𗗙,ꞏjij¹,ye¹,1.36,之,03.01B.6,12
154,5655,𘏨,ljɨ̣¹,lləh¹,1.69,寶,03.01B.6,13
155,5205,𘟫,ɣạ¹,γa̱h¹,1.63,劒,03.01B.6,14
156,0147,𗀓,śjij²,śe²,2.32,請,03.01B.6,15
157,3357,𗧠,kiẹj²,qae̱h²,2.53,欲,03.01B.7,1
158,1014,𗟲,ŋwu̱¹,ŋŋwu̱¹,1.05,語,03.01B.7,2
159,0826,𗱁,thjɨ¹,thə¹,1.3,說,03.01B.7,3
160,5643,𘖑,mjɨ¹,mə¹,1.3,ɴᴇɢ.ᴍᴏᴅ,03.01B.7,4
161,1617,𘜕,kjir²,rkir²,2.72,敢,03.01B.7,5
162,0576,𘅧,kjwi¹,kwi¹,1.11,季,03.01B.7,6
163,1208,𗲁,tśia¹,tṣaa̱¹,1.18,扎,03.01B.7,7
164,3574,𗥤,tsjij²,tse²,2.33,曉₁,03.01B.7,8
165,2518,𗤶,nji̱j¹,nne¹,1.39,心,03.01B.7,9
166,0433,𗖵,bju¹,bu¹,1.03,ʀᴇꜰ,03.01B.7,10
167,5981,𗈪,ꞏja,a?,0,ᴘꜰᴠ:ᴜᴘ/ɪɴᴛʀɢ,03.01B.7,11
168,2638,𗥠,mji̱j²,mme²,2.35,許,03.01B.7,12
169,5113,𘃡,wji¹,vi¹,1.1,為₁,03.01B.7,13
170,4342,𗞞,dja²,da²,2.17,ᴘꜰᴠ/ɪᴍᴘ,03.01B.7,14
171,2511,𗨛,rjɨr²,rər²,2.77,去,03.01B.7,15
172,2912,𗆮,lhjwo¹,lhwow¹,1.48,還,03.02A.1,1
173,1906,𗅉,niow¹,nuo¹,1.57,後,03.02A.1,2
174,0586,𗍏,sju²,su²,2.03,徐,03.02A.1,3
175,5045,𗑪,kjwĩ¹,kwiṃ¹,1.16,君,03.02A.1,4
176,4342,𗞞,dja²,da²,2.17,ᴘꜰᴠ/ɪᴍᴘ,03.02A.1,5
177,3072,𗢏,sji²,si²,2.1,死₁,03.02A.1,6
178,0576,𘅧,kjwi¹,kwi¹,1.11,季,03.02A.1,7
179,1208,𗲁,tśia¹,tṣaa̱¹,1.18,扎,03.02A.1,8
180,0824,𗉮,tśhjɨ²,tśhə²,2.27,立,03.02A.1,9
181,5417,𘃛,rjar²,rar²,2.74,即,03.02A.1,10
182,5655,𘏨,ljɨ̣¹,lləh¹,1.69,寶,03.02A.1,11
183,5205,𘟫,ɣạ¹,γa̱h¹,1.63,劒,03.02A.1,12
184,4342,𗞞,dja²,da²,2.17,ᴘꜰᴠ/ɪᴍᴘ,03.02A.1,13
185,1799,𗱌,thu²,thu̱²,2.01,脫,03.02A.1,14
186,2592,𗢤,la²,la̱²,2.14,墓,03.02A.1,15
187,2750,𗥦,ɣu¹,γu̱¹,1.04,頭,03.02A.2,1
188,5856,𘕿,ɣa²,γa̱²,2.14,ʟᴏᴄ,03.02A.2,2
189,5670,𘂬,ꞏo¹,γo̱¹,1.49,垂,03.02A.2,3
190,5113,𘃡,wji¹,vi¹,1.1,為₁,03.02A.2,4
191,5354,𘌽,thjɨ²,thə²,2.28,此,03.02A.2,5
192,1183,𘅣,dạ²,da̱h²,2.56,事,03.02A.2,6
193,4591,𗢆,śjwɨ¹,śwə¹,1.29,說,03.02A.2,7
194,5467,𘃟,ꞏjwã¹,ywaṃ¹,1.26,苑,03.02A.2,8
195,4797,𘝞,ꞏjwɨr²,rywər²,2.77,文,03.02A.2,9
196,5993,𘂤,kha¹,qha̱¹,1.17,ɪɴᴛᴇꜱꜱ,03.02A.2,10
197,5612,𘎪,tshji̱j¹,ntshe¹,1.39,說₁,03.02A.2,11
198,5993,𘂤,kha¹,qha̱¹,1.17,ɪɴᴛᴇꜱꜱ,03.02A.3,1
199,5925,𘕘,tsə¹,tsə̱¹,1.27,子,03.02A.3,2
200,1906,𗅉,niow¹,nuo¹,1.57,後,03.02A.3,3
201,2639,𗦻,mji̱j²,mme²,2.35,名,03.02A.3,4
202,4775,𗐪,khjow²,qhao̱ṃ²,2.48,轲,03.02A.3,5
203,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02A.3,6
204,1319,𘄴,tshji¹,tshi¹,1.11,齊,03.02A.3,7
205,2937,𗂧,lhjịj²,lheh²,2.54,國,03.02A.3,8
206,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.02A.3,9
207,0508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.02A.3,10
208,1245,𘝵,ꞏjij¹,ye¹,1.36,自,03.02A.3,11
209,1892,𗎭,mji̱¹,mmi¹,1.14,宅,03.02A.3,12
210,5725,𘃂,wjɨ̣²,vəh²,2.61,東,03.02A.3,13
211,3349,𗏣,rjijr²,rer²,2.68,方,03.02A.3,14
212,2862,𗫌,nji¹,ni¹,1.11,家,03.02A.3,15
213,4889,𘎆,dźjwɨ¹,dźwə¹,1.3,鄰,03.02A.4,1
214,1794,𗱀,ꞏo¹,γo̱¹,1.49,主,03.02A.4,2
215,4884,𗐱,nji²,ni²,2.1,等,03.02A.4,3
216,0294,𗗾,wa¹,vwa̱¹,1.17,豬,03.02A.4,4
217,0716,𘙣,śji̱¹,nśi¹,1.14,宰₁,03.02A.4,5
218,2259,𗪨,miej²,mae̱²,2.31,孟,03.02A.4,6
219,5925,𘕘,tsə¹,tsə̱¹,1.27,子,03.02A.4,7
220,0092,𗴺,mja¹,ma¹,1.2,母,03.02A.4,8
221,1139,𗗙,ꞏjij¹,ye¹,1.36,P.,03.02A.4,9
222,4342,𗞞,dja²,da²,2.17,ᴘꜰᴠ/ɪᴍᴘ,03.02A.4,10
223,2082,𗤄,ꞏjɨr¹,ryər¹,1.86,問,03.02A.4,11
224,0294,𗗾,wa¹,vwa̱¹,1.17,豬,03.02A.4,12
225,0716,𘙣,śji̱¹,nśi¹,1.14,宰₁,03.02A.4,13
226,3092,𗫶,djij²,de²,2.33,PROG,03.02A.4,14
227,3583,𗫂,tja¹,ta¹,1.2,者,03.02A.4,15
228,0491,𗰓,ljọ²,lloh²,2.64,豈,03.02A.5,1
229,2417,𗋂,śjwo¹,śwow¹,1.48,用,03.02A.5,2
230,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02A.5,3
231,0092,𗴺,mja¹,ma¹,1.2,母,03.02A.5,4
232,1333,𘗮,dźjụ²,dźuh²,2.52,戲,03.02A.5,5
233,4493,𗷍,dźjịj²,dźeh²,2.54,言,03.02A.5,6
234,5880,𗳒,ŋwu²,ŋwu̱²,2.01,ɪɴꜱ,03.02A.5,7
235,1045,𘒣,dạ²,da̱h²,2.56,曰,03.02A.5,8
236,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02A.5,9
237,3926,𘀍,nja²,na²,2.17,汝,03.02A.5,10
238,2590,𗋚,wjɨ²,və²,2.27,ᴘꜰᴠ:ᴏᴜᴛ/ɪᴍᴘ:ᴏᴜᴛ,03.02A.5,11
239,4547,𗠈,dzjo¹,dzo¹,1.51,食₂,03.02A.5,12
240,4601,𘉞,nja²,na²,2.17,𝟤ꜱɢ,03.02A.5,13
241,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02A.5,14
242,5612,𘎪,tshji̱j¹,ntshe¹,1.39,說₁,03.02A.5,15
243,5712,𘃪,dźjwa¹,dźwa¹,1.19,終,03.02A.6,1
244,1906,𗅉,niow¹,nuo¹,1.57,後,03.02A.6,2
245,0092,𗴺,mja¹,ma¹,1.2,母,03.02A.6,3
246,0374,𗳜,lhji̱¹,nlhi¹,1.14,悔,03.02A.6,4
247,1045,𘒣,dạ²,da̱h²,2.56,曰,03.02A.6,5
248,1014,𗟲,ŋwu̱¹,ŋŋwu̱¹,1.05,語,03.02A.6,6
249,1326,𘙌,kjɨ¹,kə¹,1.3,ᴘꜰᴠ:ɪɴ/ɪᴍᴘ:ɪɴ,03.02A.6,7
250,4497,𗷁,dza̱¹,ndza̱¹,1.22,失,03.02A.6,8
251,2098,𗧓,ŋa²,ŋa̱²,2.14,𝟣ꜱɢ,03.02A.6,9
252,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02A.6,10
253,0824,𗉮,tśhjɨ²,tśhə²,2.27,立,03.02A.6,11
254,5417,𘃛,rjar²,rar²,2.74,即,03.02A.6,12
255,3465,𗁮,tśhji¹,tśhi¹,1.1,肉,03.02A.6,13
256,5845,𗗣,lwə²,lwə̱²,2.25,買,03.02A.6,14
257,2259,𗪨,miej²,mae̱²,2.31,孟,03.02A.6,15
258,5925,𘕘,tsə¹,tsə̱¹,1.27,子,03.02A.7,1
259,1139,𗗙,ꞏjij¹,ye¹,1.36,P.,03.02A.7,2
260,4342,𗞞,dja²,da²,2.17,ᴘꜰᴠ/ɪᴍᴘ,03.02A.7,3
261,4542,𗠩,mji¹,mi¹,1.11,喂,03.02A.7,4
262,3744,𘓟,dźiej²,dẓae̱²,2.31,信,03.02A.7,5
263,1918,𗅋,mji¹,mi¹,1.11,ɴᴇɢ,03.02A.7,6
264,0649,𘇄,ljwu¹,lwu¹,1.03,失,03.02A.7,7
265,1139,𗗙,ꞏjij¹,ye¹,1.36,P.,03.02A.7,8
266,2149,𗏴,dźju¹,dźu¹,1.02,顯,03.02A.7,9
267,4868,𗑩,gji̱²,ŋgi²,2.12,願,03.02A.7,10
268,2484,𘔼,nio̱w¹,nuo¹,1.57,ᴄᴀᴜꜱ,03.02A.7,11
269,5285,𘃞,ljɨ¹,lə¹,1.29,也,03.02A.7,12
270,3200,𗤁,tśhjiw¹,tśhiw¹,1.46,六,03.02A.7,13
271,2937,𗂧,lhjịj²,lheh²,2.54,國,03.02A.7,14
272,3139,𗤀,śjij¹,śe¹,1.35,代,03.02A.7,15
273,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.02B.1,1
274,0508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.02B.1,2
275,5574,𘃣,wji²,vi²,2.09,尾,03.02B.2,1
276,2256,𗻼,śiəj¹,ṣae̱ṃ¹,1.41,生,03.02B.2,2
277,0243,𗡸,sji²,si²,2.1,婦,03.02B.2,3
278,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.02B.2,4
279,0448,𗖌,gjɨ²,gə²,2.28,一,03.02B.2,5
280,4950,𗑠,rjir²,rir²,2.72,ᴀᴄᴄꜱ,03.02B.2,6
281,2584,𗋻,dzow¹,dzo̱ṃ¹,1.55,橋,03.02B.2,7
282,5399,𗯴,khju¹,khu¹,1.03,ꜱᴜʙᴇ,03.02B.2,8
283,1326,𘙌,kjɨ¹,kə¹,1.3,ᴘꜰᴠ:ɪɴ/ɪᴍᴘ:ɪɴ,03.02B.2,9
284,3216,𗥩,ljwu²,lwu²,2.03,聚,03.02B.2,10
285,0795,𘙇,rjɨr²,rər²,2.77,ᴘꜰᴠ:ᴅɪʀ/ɪᴍᴘ:ᴅɪʀ,03.02B.2,11
286,5522,𗭻,lji̱j²,nle²,2.35,待₁,03.02B.2,12
287,1064,𗷝,mjij²,me²,2.33,ɴᴇɢ.ᴘꜰᴠ,03.02B.2,13
288,2373,𗆐,ljịj²,lleh²,2.54,來,03.02B.2,14
289,3058,𗋽,zjɨ̱r²,rzər²,2.85,水,03.02B.2,15
290,4456,𘴈,tha²,tha̱²,2.54,大,03.02B.3,1
291,4161,𗛧,ljụ¹,lluh¹,1.59,流,03.02B.3,2
292,2474,𗦎,rar²,ra̱r²,2.73,過,03.02B.3,3
293,5574,𘃣,wji²,vi²,2.09,尾,03.02B.3,4
294,2256,𗻼,śiəj¹,ṣae̱ṃ¹,1.41,生,03.02B.3,5
295,0824,𗉮,tśhjɨ²,tśhə²,2.27,立,03.02B.3,6
296,5417,𘃛,rjar²,rar²,2.74,即,03.02B.3,7
297,2584,𗋻,dzow¹,dzo̱ṃ¹,1.55,橋,03.02B.3,8
298,4399,𗞁,dzjị²,dzih²,2.6,柱,03.02B.3,9
299,1326,𘙌,kjɨ¹,kə¹,1.3,ᴘꜰᴠ:ɪɴ/ɪᴍᴘ:ɪɴ,03.02B.3,10
300,2921,𗃋,wjijr²,rver²,2.68,抱,03.02B.3,11
301,4342,𗞞,dja²,da²,2.17,ᴘꜰᴠ/ɪᴍᴘ,03.02B.3,12
302,3072,𗢏,sji²,si²,2.1,死₁,03.02B.3,13
303,5354,𘌽,thjɨ²,thə²,2.28,此,03.02B.3,14
304,3583,𗫂,tja¹,ta¹,1.2,者,03.02B.3,15
305,3744,𘓟,dźiej²,dẓae̱²,2.31,信,03.02B.4,1
306,4444,𘓁,ljɨ̣¹,lləh¹,1.69,及,03.02B.4,2
307,0508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.02B.4,3
308,3092,𗫶,djij²,de²,2.33,PROG,03.02B.4,4
309,2628,𗾖,go̱r¹,ŋġo̱r¹,1.94,君,03.02B.4,5
310,1567,𘈷,gji²,gi²,2.1,子,03.02B.4,6
311,5354,𘌽,thjɨ²,thə²,2.28,此,03.02B.4,7
312,5604,𘝦,dźjɨ,dźə¹,0,業,03.02B.4,8
313,1918,𗅋,mji¹,mi¹,1.11,ɴᴇɢ,03.02B.4,9
314,3844,𗭍,dźjịj¹,dźeh¹,1.61,行,03.02B.4,10
315,5285,𘃞,ljɨ¹,lə¹,1.29,也,03.02B.4,11
316,3213,𗦆,tsjĩ¹,tsiṃ¹,1.16,晉,03.02B.5,1
317,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.02B.5,2
318,3738,𘓖,kow¹,qo̱ṃ¹,1.54,公,03.02B.5,3
319,1906,𗅉,niow¹,nuo¹,1.57,後,03.02B.5,4
320,0444,𗕸,tśhjow¹,tśhoṃ¹,1.56,重,03.02B.5,5
321,0052,𗄋,źji¹,źi¹,1.1,耳,03.02B.5,6
322,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02B.5,7
323,0938,𘄊,lji¹,li¹,1.1,驪,03.02B.5,8
324,5157,𘎫,kji¹,ki¹,1.11,姬,03.02B.5,9
325,2539,𗴒,kjạ¹,kah¹,1.64,驚,03.02B.5,10
326,4950,𗑠,rjir²,rir²,2.72,ᴀᴄᴄꜱ,03.02B.5,11
327,5981,𗈪,ꞏja,a?,0,ᴘꜰᴠ:ᴜᴘ/ɪɴᴛʀɢ,03.02B.5,12
328,0019,𗄛,ber²,rbi̱r²,1.72,遇,03.02B.5,13
329,4861,𘝨,zjọ²,zoh²,2.64,ᴛɪᴍᴇ.ʙ,03.02B.5,14
330,1796,𗳷,tśhjụ¹,tṣhau̱h¹,1.59,楚,03.02B.5,15
331,2937,𗂧,lhjịj²,lheh²,2.54,國,03.02B.6,1
332,2750,𗥦,ɣu¹,γu̱¹,1.04,頭,03.02B.6,2
333,1326,𘙌,kjɨ¹,kə¹,1.3,ᴘꜰᴠ:ɪɴ/ɪᴍᴘ:ɪɴ,03.02B.6,3
334,3175,𗨳,tjị¹,tih¹,1.67,歸,03.02B.6,4
335,1796,𗳷,tśhjụ¹,tṣhau̱h¹,1.59,楚,03.02B.6,5
336,3830,𘟙,njij²,ne²,2.33,王,03.02B.6,6
337,4040,𘔯,khju̱¹,ŋkhau̱¹,1.06,迎,03.02B.6,7
338,3159,𗨙,lhjịj²,lheh²,2.54,受₁,03.02B.6,8
339,1045,𘒣,dạ²,da̱h²,2.56,曰,03.02B.6,9
340,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.02B.6,10
341,3926,𘀍,nja²,na²,2.17,汝,03.02B.6,11
342,2937,𗂧,lhjịj²,lheh²,2.54,國,03.02B.6,12
