1707B	𗁻	⿰𘠁⿰𘠣⿰𘫽𘠢
1707C	𗁼	⿰𘠁⿰𘠨⿰𘢌𘠨
1707D	𗁽	⿰𘠁⿱𘡩⿰𘡡𘠡
1707E	𗁾	⿲𘠁𘢌𘦃
1707F	𗁿	⿰𘠁⿺𘢍𘦃
17080	𗂀	⿲𘠁𘢌𘧓
17081	𗂁	⿲𘠁𘤕𘣣
17082	𗂂	⿰𘠁⿰𘤟⿰𘠁𘢌
17083	𗂃	⿰𘠁⿺𘢦𘦳
17084	𗂄	⿲𘠁𘦳𘡧
17085	𗂅	⿲𘠁𘦳𘢌
17086	𗂆	⿲𘠁𘦳𘢓
17087	𗂇	⿲𘠁𘦳𘢞
17088	𗂈	⿲𘠁𘦳𘢶
17089	𗂉	⿲𘠁𘦳𘣀
1708A	𗂊	⿲𘠁𘤬𘣵
1708B	𗂋	⿲𘠁𘤬𘤹
1708C	𗂌	⿰𘠁⿱𘡎⿰𘠡𘥍
1708D	𗂍	⿰𘠁𘫙
1708E	𗂎	⿲𘠁𘣎𘥿
1708F	𗂏	⿲𘠁𘡦𘨈
17090	𗂐	⿰𘠁⿱𘡩⿰𘠡𘤧
17091	𗂑	⿲𘠁𘣚𘦳
17092	𗂒	⿰𘠁⿺𘣛𘦳
17093	𗂓	⿲𘠁𘣠𘧓
17094	𗂔	⿲𘠁𘣥𘦉
17095	𗂕	⿲𘠁𘢌𘨟
17096	𗂖	⿲𘠁𘤊𘥿
17097	𗂗	⿲𘠁𘤕⿱𘠊𘢏
17098	𗂘	⿲𘠁𘤕𘦢
17099	𗂙	⿲𘠁𘨃𘢌
1709A	𗂚	⿲𘠁𘨆𘡧
1709B	𗂛	⿲𘠁𘦖𘤾
1709C	𗂜	⿲𘠁𘦢𘣸
1709D	𗂝	⿲𘠁𘫎𘠢
1709E	𗂞	⿲𘠁𘨟𘡯
1709F	𗂟	⿲𘠁𘦳𘣩
170A0	𗂠	⿲𘠁𘦳𘤆
170A1	𗂡	⿲𘠁𘦳𘤔
170A2	𗂢	⿲𘠁𘦳𘤕
170A3	𗂣	⿰𘠁⿰𘤻⿰𘡤𘠢
170A4	𗂤	⿲𘠁𘫿𘥝
170A5	𗂥	⿲𘠁𘤻𘥱
170A6	𗂦	⿲𘠁𘣀𘨃
170A7	𗂧	⿲𘠁𘠣𘪸
170A8	𗂨	⿰𘠁⿰⿱𘠀𘠨⿰𘢡𘢓
170A9	𗂩	⿰𘠁⿰𘤃⿰𘥇𘠢
170AA	𗂪	⿲𘠁𘤄𘨷
170AB	𗂫	⿲𘠁𘤕𘨼
170AC	𗂬	⿲𘠁𘢡⿱𘣘𘡃
170AD	𗂭	⿲𘠁𘨃𘣮
170AE	𗂮	⿲𘠁𘨃𘣵
170AF	𗂯	⿲𘠁𘨃𘤫
170B0	𗂰	⿰𘠁⿰𘢢⿰𘢌𘢰
170B1	𗂱	⿰𘠁⿱𘡊⿲𘠡𘤧𘠢
170B2	𗂲	⿲𘠁𘨎𘤔
170B3	𗂳	⿰𘠁⿱𘨝𘣧
170B4	𗂴	⿰𘠁𘫨
170B5	𗂵	⿲𘠁𘪲𘠴
170B6	𗂶	⿲𘠁𘦳𘦑
170B7	𗂷	⿲𘠁𘦳𘦡
170B8	𗂸	⿲𘠁𘦳𘦳
170B9	𗂹	⿲𘠁𘦳𘧀
170BA	𗂺	⿲𘠁𘦳𘧁
170BB	𗂻	⿲𘠁𘤕𘩗
170BC	𗂼	⿲𘠁𘨆𘦇
170BD	𗂽	⿲𘠁𘨆𘦙
170BE	𗂾	⿲𘠁𘦦𘨱
170BF	𗂿	⿲𘠁𘦳𘧦
170C0	𗃀	⿰𘠁⿰𘢷⿰𘤬𘣈
170C1	𗃁	⿲𘠁𘪎𘤘
170C2	𗃂	⿰𘠁⿰𘨃⿰𘡔𘡡
170C3	𗃃	⿲𘠁𘦳𘫶
170C4	𗃄	⿲𘠁𘤷𘪽
170C5	𗃅	⿲𘠁𘪢𘦲
170C6	𗃆	⿲𘠁𘢡𘫕
170C7	𗃇	⿰𘠁⿰𘨃⿰𘡃𘤔
170C8	𗃈	⿰𘠁⿰𘢡⿰𘤻𘦜
170C9	𗃉	⿰𘠁⿱𘨝⿰𘢰𘢞
170CA	𗃊	⿲𘠁𘦳𘪴
170CB	𗃋	⿲𘠁𘦳𘪷
170CC	𗃌	⿲𘠁𘦳⿱𘠛𘧱
170CD	𗃍	⿰𘠁⿱𘢸⿲𘢌𘠮𘢌
170CE	𗃎	⿰𘠁𘫲
170CF	𗃏	⿰𘠁⿱𘨝⿲𘢌𘠩𘦳
170D0	𗃐	⿱𘠂⿻𘠀𘡃
170D1	𗃑	⿰𘠃𘦳
170D2	𗃒	⿲𘠃𘡽𘠴
170D3	𗃓	⿰𘠃𘪰
170D4	𗃔	⿰𘠃⿱𘡩𘨜
170D5	𗃕	⿲𘠈𘠁𘡑
170D6	𗃖	⿲𘠈𘠨𘠡
170D7	𗃗	⿲𘠈𘠁𘡱
